iter	MultiClass
123	0.3278163349
124	0.3277357154
125	0.3274415352
126	0.327383996
127	0.3272973816
128	0.327232847
129	0.3271179073
130	0.3270241157
131	0.3269356502
132	0.32682236
133	0.3267697854
134	0.3266903213
135	0.3266184822
136	0.3265449089
137	0.3264415826
138	0.3263698991
139	0.3263043861
140	0.3262254792
141	0.3261650672
142	0.3261066066
143	0.3260249722
144	0.3259506309
145	0.3258807489
146	0.3258423193
147	0.3257682115
148	0.3256730407
149	0.3256140606
150	0.325526576
151	0.3254639965
152	0.3253714845
153	0.3252721739
154	0.3251783533
155	0.3250736677
156	0.3249906547
157	0.3249410213
158	0.3248508966
159	0.3248027024
160	0.3247441275
161	0.3246685696
162	0.324583591
163	0.3244882868
164	0.324430225
165	0.3243490152
166	0.3243024962
167	0.3242558917
168	0.324177769
169	0.3241279261
170	0.3240760531
171	0.3240129308
172	0.3239532983
173	0.323681909
174	0.3236352395
175	0.3235015009
176	0.3234116146
177	0.323386611
178	0.323328564
179	0.3232218662
180	0.3231537714
181	0.323079576
182	0.3229946823
183	0.3229585329
184	0.3228883264
185	0.3228371897
186	0.3227880093
187	0.3227496431
188	0.3226804329
189	0.3226247183
190	0.3225073344
191	0.322460086
192	0.3224094494
193	0.3223316506
194	0.3222803464
195	0.3222399465
196	0.3221790113
197	0.3221336303
198	0.3220814103
199	0.3220440796
200	0.3219866844
201	0.3219231707
202	0.3218787314
203	0.3218349575
204	0.3217916247
205	0.3217129986
206	0.3216222348
207	0.3215707424
208	0.3215317714
209	0.3214701525
210	0.3214350156
211	0.3214005489
212	0.3213477071
213	0.3212891316
214	0.3212517664
215	0.3211844683
216	0.321105398
217	0.320950556
218	0.32088148
219	0.3208349504
220	0.3207853268
221	0.3207152209
222	0.3205848306
223	0.3205359361
224	0.3204895464
225	0.3204154852
226	0.3203671899
227	0.3203190973
228	0.3202279323
229	0.3201272759
230	0.3200931853
231	0.3200277247
232	0.31996926
233	0.3199003418
234	0.3198540891
235	0.3197690334
236	0.3197061562
237	0.3196268868
238	0.319572577
239	0.3195104494
240	0.3194635965
241	0.3194287655
242	0.3193465289
243	0.3193086952
244	0.3192542157
245	0.3192102196
246	0.3191555774
247	0.3191159051
248	0.3190524162
249	0.3190101351
250	0.3189768274
251	0.3189141472
252	0.3188538483
253	0.3188037289
254	0.3187592064
255	0.3185556406
256	0.3185086165
257	0.3184528571
258	0.318396074
259	0.318322358
260	0.3182537433
261	0.3182124915
262	0.3181437203
263	0.3181144976
264	0.3180743966
265	0.3179908723
266	0.3179474088
267	0.3179012583
268	0.3178548537
269	0.3178072022
270	0.3177716072
271	0.3177240423
272	0.3176757765
273	0.3176398023
274	0.3175750153
275	0.3175231903
276	0.3174727334
277	0.3173735105
278	0.3173313604
279	0.3172633367
280	0.3171750075
281	0.3171329079
282	0.3170269297
283	0.3169437514
284	0.3168961898
285	0.3168662614
286	0.3168206803
287	0.3167885142
288	0.316734672
289	0.3166794675
290	0.3166033675
291	0.3165269151
292	0.3164898788
293	0.3164449055
294	0.3163933076
295	0.3163219891
296	0.3162881464
297	0.3162260893
298	0.3161509085
299	0.3161093204
300	0.316058095
301	0.3160070207
302	0.315958824
303	0.3158632324
304	0.3157923376
305	0.3157357847
306	0.3156958126
307	0.3156302554
308	0.3155913064
309	0.315554249
310	0.3154782124
311	0.3154458611
312	0.3154143574
313	0.3153218093
314	0.3152396128
315	0.3151964577
316	0.3151117168
317	0.3150682893
318	0.3150227336
319	0.3149849166
320	0.3149024918
321	0.3148416602
322	0.3147909362
323	0.3147565615
324	0.3147185246
325	0.3146666586
326	0.3145604485
327	0.3145136185
328	0.3144625744
329	0.3143978872
330	0.3143469138
331	0.3142930826
332	0.3142164822
333	0.3141893777
334	0.3141236279
335	0.3140862677
336	0.3140341471
337	0.3139920406
338	0.3139434439
339	0.3138834077
340	0.3138385339
341	0.3137931968
342	0.3137591777
343	0.313712229
344	0.313647453
345	0.3136057226
346	0.3135625549
347	0.3135054698
348	0.313454193
349	0.31341232
350	0.3133654191
351	0.3133025598
352	0.3132527647
353	0.3131924505
354	0.3131362278
355	0.3131025068
356	0.3130504808
357	0.3129870123
358	0.3129522304
359	0.3129057007
360	0.3128647776
361	0.3127939078
362	0.3127683423
363	0.3127093103
364	0.3126784017
365	0.3126247207
366	0.3125912341
367	0.3125082228
368	0.3124831721
369	0.3124519163
370	0.3124059015
371	0.3123803644
372	0.3123396953
373	0.3123004158
374	0.3122605466
375	0.3122245973
376	0.3121804599
377	0.3121272802
378	0.3120425593
379	0.3119534972
380	0.3118931535
381	0.3117825616
382	0.3117462901
383	0.3116959769
384	0.3116616264
385	0.3116073169
386	0.3114977037
387	0.3114398017
388	0.3113380226
389	0.3112403815
390	0.3111936408
391	0.3111530443
392	0.3110934093
393	0.3110407613
394	0.3109957456
395	0.3108794355
396	0.3108165407
397	0.3107167717
398	0.310649877
399	0.3105963548
400	0.3105180177
401	0.3104811395
402	0.3104336572
403	0.3103824312
404	0.3103313678
405	0.3102885013
406	0.3102275227
407	0.3101992654
408	0.3101610342
409	0.3100993832
410	0.3100531771
411	0.3099976889
412	0.3099106402
413	0.3097801479
414	0.3097464215
415	0.309677514
416	0.3096345487
417	0.309610554
418	0.3095567874
419	0.3095249987
420	0.3094635429
421	0.3094214143
422	0.3093798116
423	0.3093416089
424	0.3092606026
425	0.3092335569
426	0.3091822227
427	0.3090825185
428	0.3090275218
429	0.308987566
430	0.3089236221
431	0.3088821477
432	0.3088203269
433	0.3087719754
434	0.3087399488
435	0.3087089265
436	0.3086592014
437	0.3085849834
438	0.3085166338
439	0.3084549613
440	0.308410248
441	0.3083596173
442	0.3082854586
443	0.308209992
444	0.3081712648
445	0.3081191399
446	0.3080829053
447	0.3080471985
448	0.3079924379
449	0.3079400026
450	0.3078868696
451	0.3077748038
452	0.3077289407
453	0.3076710456
454	0.3076084676
455	0.3075408351
456	0.3073755942
457	0.3073460094
458	0.3073054458
459	0.3072275346
460	0.3071815512
461	0.307128658
462	0.3070991579
463	0.3070743238
464	0.306985761
465	0.3069537166
466	0.3069139616
467	0.3068917948
468	0.306833936
469	0.306788595
470	0.3067429705
471	0.306715125
472	0.3066428044
473	0.3066148011
474	0.306497344
475	0.3064639955
476	0.3064159862
477	0.3063740021
478	0.3063155387
479	0.3062449942
480	0.3061676369
481	0.3061321926
482	0.3060951163
483	0.3060056227
484	0.3059685674
485	0.3059281735
486	0.305882969
487	0.3058206206
488	0.3057860303
489	0.3057457486
490	0.3057210928
491	0.3056528287
492	0.3056077699
493	0.3055750336
494	0.3055263914
495	0.3054785072
496	0.3054223338
497	0.3053554743
498	0.305291881
499	0.3052501153
500	0.3052198244
501	0.305185813
502	0.3051581939
503	0.3050844345
504	0.3050437192
505	0.3050143552
506	0.3049954208
507	0.3049596964
508	0.3048856773
509	0.3048084804
510	0.3047379059
511	0.3046940336
512	0.3046508985
513	0.3046000748
514	0.304497421
515	0.3044746131
516	0.304423978
517	0.3043841954
518	0.3043251551
519	0.3042923168
520	0.30426067
521	0.3042116129
522	0.3041426276
523	0.3040415062
524	0.3039325695
525	0.3038992187
526	0.3038749119
527	0.3038415548
528	0.3037882032
529	0.3037196572
530	0.3036646175
531	0.3036250017
532	0.3035546158
533	0.303488105
534	0.3034446546
535	0.3033973714
536	0.3033205257
537	0.3032816107
538	0.3031949854
539	0.3031677732
540	0.3031306393
541	0.3030718212
542	0.3030205044
543	0.3029433716
544	0.3029028515
545	0.302835944
546	0.3027854668
547	0.3026962817
548	0.3026126331
549	0.3025612979
550	0.3025134902
551	0.3024754278
552	0.3024332369
553	0.3023789663
554	0.3023464014
555	0.3022378048
556	0.3021797049
557	0.3021320438
558	0.3020947795
559	0.302038661
560	0.3020181937
561	0.3019757586
562	0.3019289347
563	0.3018858549
564	0.3018392371
565	0.3018003832
566	0.3016832047
567	0.3016304903
568	0.3015801498
569	0.3015494272
570	0.3014763709
571	0.3014253161
572	0.3013500927
573	0.3013157217
574	0.3012246698
575	0.3011798295
576	0.3010974061
577	0.3010437896
578	0.3009992715
579	0.3009445567
580	0.3009155818
581	0.3008799545
582	0.3008369378
583	0.300784978
584	0.3007571142
585	0.3007277789
586	0.3006910883
587	0.3006591193
588	0.3005839761
589	0.3005648364
590	0.3004966139
591	0.3004452232
592	0.3003968715
593	0.30032533
594	0.3003045609
595	0.3002462862
596	0.3002097737
597	0.300159535
598	0.3001335806
599	0.3000939324
600	0.3000606614
601	0.3000275184
602	0.2999976268
603	0.2999651327
604	0.299923601
605	0.2998558037
606	0.2997962065
607	0.2997523222
608	0.299668869
609	0.2996333607
610	0.2995815019
611	0.2995445823
612	0.299531994
613	0.2994993393
614	0.2994502126
615	0.2993434654
616	0.2993042609
617	0.2992763302
618	0.2992411688
619	0.2991907338
620	0.2991258644
621	0.2990752445
622	0.2990423859
623	0.2989716403
624	0.298946719
625	0.2988756112
626	0.2988347727
627	0.2987926001
628	0.2987486066
629	0.2986992662
630	0.2986794089
631	0.298631804
632	0.2986083217
633	0.2985507901
634	0.2985027998
635	0.2984579255
636	0.2983888127
637	0.2983401498
638	0.2982947095
639	0.2982671396
640	0.2981681003
641	0.2981445507
642	0.2981024611
643	0.298066979
644	0.2980353669
645	0.2979954454
646	0.2979570479
647	0.2978712829
648	0.2978350994
649	0.2977954731
650	0.2977011095
651	0.2976644597
652	0.2976183858
653	0.2975964089
654	0.2975544237
655	0.2975167213
656	0.2974777126
657	0.2974470397
658	0.2973873575
659	0.2972948825
660	0.297274467
661	0.2972387403
662	0.297213241
663	0.2971904426
664	0.2971457766
665	0.2971028962
666	0.297039726
667	0.296959212
668	0.2969031115
669	0.2968340251
670	0.2967987692
671	0.2967720731
672	0.2967451051
673	0.2966996491
674	0.2966323125
675	0.2965535841
676	0.2965124775
677	0.2964685199
678	0.2964141212
679	0.2963808199
680	0.2963450324
681	0.296313919
682	0.2962590022
683	0.2962325642
684	0.2961568563
685	0.2960780567
686	0.2960425913
687	0.2960016389
688	0.2959757888
689	0.2959398681
690	0.2958912814
691	0.2958474243
692	0.295821453
693	0.2957809422
694	0.295708071
695	0.2956801272
696	0.2956146613
697	0.2955280381
698	0.2954913058
699	0.2954400356
700	0.2954154353
701	0.2953902275
702	0.2953183548
703	0.2952695586
704	0.2952409311
705	0.295184971
706	0.2951465862
707	0.295104151
708	0.294999502
709	0.2949694859
710	0.2948907466
711	0.2947992512
712	0.2947159558
713	0.2946508982
714	0.2945587403
715	0.294519128
716	0.2944859921
717	0.2944489826
718	0.294408592
719	0.2943626545
720	0.2943314802
721	0.2942948709
722	0.2942551816
723	0.2942198388
724	0.2941537534
725	0.294112041
726	0.2940734329
727	0.2940291638
728	0.2939915577
729	0.2939665881
730	0.2939230571
731	0.2938523572
732	0.2938234838
733	0.2937660918
734	0.2937073495
735	0.2936876144
736	0.2936716035
737	0.2936179284
738	0.2935298271
739	0.2935083229
740	0.2934765066
741	0.2934364255
742	0.2933726142
743	0.2933513353
744	0.2933295764
745	0.2932878392
746	0.2932679528
747	0.293221136
748	0.2931728445
749	0.2931441385
750	0.2931021699
751	0.2930481945
752	0.293016156
753	0.2929693006
754	0.2929411925
755	0.2928991543
756	0.2928734496
757	0.2928455584
758	0.2927819099
759	0.2927387675
760	0.2927058405
761	0.2926413239
762	0.2926139343
763	0.2925455236
764	0.2925088669
765	0.2924538547
766	0.2924282274
767	0.2924112954
768	0.2923564015
769	0.2922909809
770	0.2922319922
771	0.2921882683
772	0.2921463723
773	0.2920735152
774	0.2920567751
775	0.2919909689
776	0.2919148959
777	0.2918657602
778	0.2918314589
779	0.29180959
780	0.2917623082
781	0.2917410282
782	0.2916583113
783	0.2916332133
784	0.2915758998
785	0.2915407662
786	0.2915092071
787	0.2914678832
788	0.2914297717
789	0.2913863647
790	0.2913436546
791	0.2912913987
792	0.2912066217
793	0.2911628021
794	0.291130996
795	0.2911035705
796	0.2910456003
797	0.2910036623
798	0.2909575631
799	0.2909181083
800	0.2908903031
801	0.2908134665
802	0.2907392055
803	0.2907054459
804	0.2906919718
805	0.2906660895
806	0.2906347835
807	0.2905878556
808	0.2905449018
809	0.2904835505
810	0.2904355807
811	0.2904095131
812	0.2903773333
813	0.2903368803
814	0.2902846401
815	0.2902543528
816	0.2902280384
817	0.2901872137
818	0.2901617007
819	0.290129416
820	0.2901040369
821	0.2900524248
822	0.2899918224
823	0.2899553233
824	0.2899227196
825	0.2898628371
826	0.2898132465
827	0.2897843692
828	0.2897496666
829	0.2896861936
830	0.2896491236
831	0.2896231448
832	0.2895886867
833	0.2895581772
834	0.2894645037
835	0.2894337632
836	0.2893913613
837	0.2893518213
838	0.2892616303
839	0.2892319084
840	0.2892059082
841	0.2891807396
842	0.2891282046
843	0.2890882855
844	0.2890547619
845	0.2890090015
846	0.2889748102
847	0.2889531898
848	0.2889200342
849	0.2888883594
850	0.2888161991
851	0.2887922718
852	0.2887419821
853	0.2887098843
854	0.2886626801
855	0.2886380089
856	0.2885938229
857	0.288551972
858	0.2885132154
859	0.2884885533
860	0.2884386568
861	0.2884167145
862	0.2883817498
863	0.2883477357
864	0.2882824695
865	0.2882646438
866	0.2882248573
867	0.2881804419
868	0.288160667
869	0.2881067779
870	0.2880736172
871	0.2880225916
872	0.2879887664
873	0.2879461939
874	0.2879052302
875	0.2878721276
876	0.287787068
877	0.2877509437
878	0.2877126791
879	0.2876611115
880	0.2876467004
881	0.2875939335
882	0.2875591783
883	0.2875151186
884	0.2874828393
885	0.2874599664
886	0.2874206515
887	0.2873736965
888	0.2873355662
889	0.2872654276
890	0.2872395156
891	0.287219449
892	0.2871484402
893	0.2870583769
894	0.2870222348
895	0.2869832716
896	0.28696297
897	0.2869299247
898	0.2869024581
899	0.2868589905
900	0.2867914467
901	0.2867516456
902	0.2866805459
903	0.2866389458
904	0.2865809274
905	0.2865182413
906	0.2864984557
907	0.2864620368
908	0.286431351
909	0.2863973092
910	0.2863615673
911	0.2863203088
912	0.286298301
913	0.2862576875
914	0.2861868897
915	0.2861473455
916	0.2861241042
917	0.2860903809
918	0.2860540144
919	0.2860160721
920	0.2859795851
921	0.2859291221
922	0.2858880902
923	0.2858160836
924	0.2857679837
925	0.2857487851
926	0.2856896997
927	0.2856502767
928	0.285627601
929	0.2855977771
930	0.2855696661
931	0.2855511222
932	0.2855043768
933	0.2854677256
934	0.285426451
935	0.2853882768
936	0.2853365496
937	0.2852638519
938	0.2852279572
939	0.2852044159
940	0.2851494826
941	0.2851237137
942	0.2850974502
943	0.2850519779
944	0.2849742543
945	0.2849524729
946	0.2849235341
947	0.2848893303
948	0.2848564969
949	0.2848015806
950	0.2847722563
951	0.2847390336
952	0.2846826585
953	0.2846124797
954	0.2845582268
955	0.2844964686
956	0.2844053446
957	0.2843751201
958	0.2843031761
959	0.2842783431
960	0.2842181166
961	0.2841829906
962	0.2841142095
963	0.2840977249
964	0.284049935
965	0.2840166388
966	0.2839831067
967	0.2839406916
968	0.2839188042
969	0.2838822129
970	0.283844644
971	0.2837645858
972	0.2837095242
973	0.2836737991
974	0.2836415715
975	0.2836150993
976	0.283584684
977	0.2835409256
978	0.2834890393
979	0.2834629075
980	0.2834422046
981	0.2834023767
982	0.2833713751
983	0.2833240232
984	0.2832961302
985	0.2831775866
986	0.2831123197
987	0.2830763532
988	0.2830150997
989	0.2829792391
990	0.2829431581
991	0.2828957122
992	0.282862077
993	0.2828242296
994	0.2827983226
995	0.2827803621
996	0.2827561793
997	0.2827354531
998	0.2827126764
999	0.2826770073
