iter	Passed	Remaining
409	4289	6172
410	4299	6162
411	4310	6151
412	4319	6139
413	4330	6129
414	4340	6118
415	4351	6108
416	4360	6096
417	4371	6086
418	4380	6074
419	4390	6063
420	4401	6053
421	4411	6042
422	4421	6031
423	4432	6021
424	4442	6009
425	4450	5997
426	4461	5987
427	4471	5975
428	4481	5964
429	4490	5952
430	4502	5943
431	4512	5932
432	4522	5921
433	4532	5910
434	4542	5899
435	4551	5888
436	4562	5877
437	4571	5865
438	4581	5854
439	4590	5842
440	4600	5831
441	4610	5820
442	4620	5809
443	4630	5799
444	4640	5787
445	4651	5777
446	4661	5766
447	4672	5757
448	4682	5745
449	4693	5736
450	4701	5723
451	4712	5713
452	4722	5703
453	4733	5692
454	4743	5681
455	4753	5671
456	4763	5660
457	4774	5649
458	4783	5638
459	4793	5627
460	4803	5616
461	4813	5605
462	4823	5594
463	4833	5583
464	4844	5573
465	4853	5561
466	4863	5551
467	4873	5540
468	4884	5530
469	4894	5518
470	4904	5507
471	4913	5496
472	4923	5485
473	4932	5474
474	4942	5462
475	4951	5450
476	4960	5439
477	4970	5428
478	4981	5418
479	4990	5406
480	4999	5394
481	5009	5383
482	5018	5371
483	5028	5360
484	5037	5348
485	5047	5337
486	5057	5327
487	5067	5316
488	5077	5305
489	5086	5294
490	5095	5282
491	5105	5271
492	5113	5258
493	5122	5247
494	5133	5237
495	5143	5225
496	5152	5214
497	5162	5204
498	5172	5193
499	5182	5182
500	5191	5170
501	5201	5160
502	5210	5148
503	5221	5138
504	5231	5127
505	5240	5116
506	5249	5104
507	5258	5093
508	5268	5082
509	5278	5071
510	5287	5060
511	5297	5048
512	5306	5037
513	5316	5026
514	5326	5015
515	5335	5004
516	5344	4992
517	5353	4981
518	5363	4970
519	5372	4959
520	5382	4948
521	5392	4937
522	5401	4926
523	5410	4914
524	5420	4904
525	5430	4893
526	5440	4883
527	5451	4873
528	5461	4862
529	5472	4852
530	5482	4842
531	5492	4832
532	5501	4820
533	5511	4809
534	5521	4799
535	5531	4788
536	5541	4777
537	5550	4766
538	5560	4755
539	5569	4744
540	5580	4734
541	5589	4723
542	5599	4712
543	5608	4701
544	5618	4690
545	5628	4679
546	5637	4669
547	5646	4657
548	5656	4647
549	5666	4636
550	5677	4626
551	5686	4615
552	5696	4604
553	5705	4593
554	5714	4581
555	5725	4571
556	5734	4561
557	5743	4549
558	5752	4538
559	5762	4527
560	5770	4515
561	5780	4505
562	5790	4494
563	5800	4484
564	5809	4472
565	5819	4462
566	5829	4452
567	5838	4440
568	5847	4429
569	5857	4418
570	5867	4408
571	5876	4397
572	5887	4387
573	5897	4376
574	5906	4365
575	5916	4355
576	5926	4344
577	5936	4334
578	5945	4323
579	5955	4312
580	5965	4302
581	5975	4291
582	5985	4281
583	5996	4271
584	6006	4261
585	6016	4250
586	6026	4240
587	6035	4229
588	6045	4218
589	6054	4207
590	6063	4196
591	6074	4186
592	6083	4175
593	6093	4165
594	6102	4153
595	6111	4142
596	6121	4132
597	6131	4122
598	6140	4110
599	6149	4099
600	6159	4089
601	6168	4078
602	6178	4067
603	6187	4056
604	6197	4046
605	6208	4036
606	6218	4026
607	6229	4016
608	6239	4005
609	6248	3995
610	6258	3984
611	6268	3974
612	6277	3963
613	6287	3952
614	6297	3942
615	6307	3931
616	6316	3921
617	6326	3910
618	6336	3899
619	6345	3889
620	6355	3878
621	6364	3868
622	6374	3857
623	6383	3846
624	6392	3835
625	6402	3824
626	6411	3814
627	6421	3803
628	6431	3793
629	6440	3782
630	6450	3772
631	6459	3761
632	6468	3750
633	6478	3740
634	6488	3729
635	6498	3719
636	6507	3708
637	6518	3698
638	6527	3687
639	6537	3677
640	6547	3667
641	6556	3656
642	6566	3645
643	6575	3634
644	6585	3624
645	6594	3613
646	6603	3602
647	6613	3592
648	6624	3582
649	6634	3572
650	6644	3561
651	6653	3551
652	6663	3541
653	6672	3530
654	6682	3519
655	6692	3509
656	6702	3499
657	6712	3488
658	6722	3478
659	6732	3468
660	6742	3457
661	6752	3447
662	6762	3437
663	6771	3426
664	6781	3416
665	6790	3405
666	6799	3394
667	6809	3384
668	6818	3373
669	6828	3363
670	6838	3352
671	6847	3342
672	6857	3331
673	6866	3321
674	6875	3310
675	6894	3304
676	6910	3296
677	6920	3286
678	6928	3275
679	6938	3265
680	6948	3255
681	6958	3244
682	6967	3233
683	6976	3222
684	6986	3212
685	6996	3202
686	7005	3191
687	7015	3181
688	7025	3171
689	7035	3160
690	7044	3149
691	7053	3139
692	7062	3128
693	7072	3118
694	7082	3108
695	7091	3097
696	7100	3086
697	7110	3076
698	7120	3066
699	7131	3056
700	7142	3046
701	7151	3035
702	7162	3026
703	7173	3016
704	7182	3005
705	7192	2995
706	7202	2984
707	7213	2975
708	7225	2965
709	7234	2954
710	7244	2944
711	7254	2934
712	7265	2924
713	7275	2914
714	7285	2904
715	7296	2894
716	7305	2883
717	7316	2873
718	7327	2863
719	7337	2853
720	7347	2843
721	7357	2833
722	7368	2822
723	7379	2812
724	7389	2802
725	7399	2792
726	7409	2782
727	7420	2772
728	7431	2762
729	7441	2752
730	7451	2742
731	7461	2731
732	7472	2721
733	7483	2711
734	7494	2701
735	7503	2691
736	7512	2681
737	7523	2670
738	7534	2661
739	7544	2650
740	7554	2640
741	7563	2629
742	7574	2619
743	7584	2609
744	7594	2599
745	7604	2589
746	7615	2579
747	7626	2569
748	7637	2559
749	7646	2548
750	7656	2538
751	7667	2528
752	7677	2518
753	7687	2508
754	7697	2497
755	7707	2487
756	7716	2477
757	7727	2467
758	7737	2456
759	7748	2446
760	7757	2436
761	7768	2426
762	7778	2416
763	7788	2405
764	7799	2395
765	7809	2385
766	7824	2376
767	7835	2367
768	7846	2356
769	7858	2347
770	7869	2337
771	7879	2327
772	7889	2316
773	7899	2306
774	7909	2296
775	7919	2286
776	7929	2275
777	7939	2265
778	7949	2255
779	7959	2244
780	7968	2234
781	7979	2224
782	7988	2213
783	7997	2203
784	8007	2193
785	8016	2182
786	8026	2172
787	8035	2161
788	8045	2151
789	8055	2141
790	8065	2131
791	8075	2120
792	8085	2110
793	8095	2100
794	8104	2089
795	8113	2079
796	8123	2069
797	8132	2058
798	8142	2048
799	8151	2037
800	8162	2027
801	8173	2017
802	8184	2007
803	8192	1997
804	8201	1986
805	8211	1976
806	8221	1966
807	8230	1955
808	8239	1945
809	8249	1934
810	8259	1924
811	8268	1914
812	8278	1904
813	8288	1893
814	8297	1883
815	8307	1873
816	8317	1863
817	8327	1852
818	8336	1842
819	8345	1832
820	8355	1821
821	8365	1811
822	8375	1801
823	8385	1791
824	8395	1780
825	8404	1770
826	8414	1760
827	8424	1749
828	8433	1739
829	8443	1729
830	8453	1719
831	8463	1708
832	8473	1698
833	8483	1688
834	8492	1678
835	8501	1667
836	8511	1657
837	8521	1647
838	8531	1637
839	8541	1627
840	8551	1616
841	8562	1606
842	8571	1596
843	8580	1586
844	8589	1575
845	8600	1565
846	8611	1555
847	8620	1545
848	8629	1534
849	8639	1524
850	8649	1514
851	8658	1504
852	8669	1494
853	8678	1483
854	8688	1473
855	8698	1463
856	8708	1453
857	8718	1442
858	8728	1432
859	8738	1422
860	8747	1412
861	8757	1401
862	8767	1391
863	8776	1381
864	8786	1371
865	8795	1361
866	8806	1350
867	8815	1340
868	8825	1330
869	8835	1320
870	8844	1309
871	8854	1299
872	8865	1289
873	8875	1279
874	8884	1269
875	8894	1258
876	8903	1248
877	8913	1238
878	8922	1228
879	8932	1218
880	8940	1207
881	8950	1197
882	8960	1187
883	8970	1177
884	8981	1167
885	8991	1156
886	9001	1146
887	9011	1136
888	9020	1126
889	9029	1116
890	9039	1105
891	9048	1095
892	9057	1085
893	9067	1075
894	9079	1065
895	9088	1054
896	9098	1044
897	9108	1034
898	9117	1024
899	9127	1014
900	9137	1003
901	9145	993
902	9155	983
903	9165	973
904	9175	963
905	9187	953
906	9198	943
907	9208	933
908	9218	922
909	9228	912
910	9238	902
911	9247	892
912	9257	882
913	9266	871
914	9276	861
915	9286	851
916	9296	841
917	9308	831
918	9317	821
919	9327	811
920	9336	800
921	9345	790
922	9355	780
923	9366	770
924	9375	760
925	9385	750
926	9395	739
927	9405	729
928	9415	719
929	9425	709
930	9435	699
931	9445	689
932	9455	678
933	9464	668
934	9474	658
935	9484	648
936	9493	638
937	9504	628
938	9513	618
939	9523	607
940	9532	597
941	9542	587
942	9552	577
943	9562	567
944	9571	557
945	9581	546
946	9591	536
947	9601	526
948	9610	516
949	9620	506
950	9629	496
951	9639	486
952	9648	475
953	9658	465
954	9667	455
955	9677	445
956	9687	435
957	9697	425
958	9707	415
959	9716	404
960	9725	394
961	9735	384
962	9746	374
963	9756	364
964	9766	354
965	9776	344
966	9786	333
967	9797	323
968	9806	313
969	9816	303
970	9826	293
971	9835	283
972	9844	273
973	9854	263
974	9864	252
975	9873	242
976	9884	232
977	9893	222
978	9903	212
979	9913	202
980	9922	192
981	9933	182
982	9942	171
983	9952	161
984	9961	151
985	9971	141
986	9981	131
987	9990	121
988	9999	111
989	10008	101
990	10019	90
991	10028	80
992	10038	70
993	10048	60
994	10057	50
995	10067	40
996	10076	30
997	10085	20
998	10095	10
999	10104	0
